Order,Show Bag,Location,Item,Price,Choose One in Show Bag
0,AFL Showbag Adelaide Crows 18,"Stand A2, A4, B5, C1, T1, T2 in Showbag Pavilion",AFL Team Sportsbag,$24.95,
1,AFL Showbag Adelaide Crows 18,"Stand A2, A4, B5, C1, T1, T2 in Showbag Pavilion",AFL Team Cap,$14.95,
2,AFL Showbag Adelaide Crows 18,"Stand A2, A4, B5, C1, T1, T2 in Showbag Pavilion",AFL Team football,$9.95,
3,AFL Showbag Adelaide Crows 18,"Stand A2, A4, B5, C1, T1, T2 in Showbag Pavilion",AFL Team Torch,$3.95,
4,AFL Showbag Adelaide Crows 18,"Stand A2, A4, B5, C1, T1, T2 in Showbag Pavilion",AFL Team Stickers,$4.95,
5,AFL Showbag Adelaide Crows 18,"Stand A2, A4, B5, C1, T1, T2 in Showbag Pavilion",AFL Team Pencil Case,$4.95,
6,AFL Showbag Adelaide Crows 18,"Stand A2, A4, B5, C1, T1, T2 in Showbag Pavilion",AFL Team Tumbler,$4.95,
7,AFL Showbag Adelaide Crows 18,"Stand A2, A4, B5, C1, T1, T2 in Showbag Pavilion",AFL Team Flag,$4.95,
8,AFL Showbag Brisbane Lions 18,"Stand A2, A4, B5, C1, T1, T2 in Showbag Pavilion",AFL Team Sportsbag,$24.95,
9,AFL Showbag Brisbane Lions 18,"Stand A2, A4, B5, C1, T1, T2 in Showbag Pavilion",AFL Team Cap,$14.95,
10,AFL Showbag Brisbane Lions 18,"Stand A2, A4, B5, C1, T1, T2 in Showbag Pavilion",AFL Team Football,$9.95,
11,AFL Showbag Brisbane Lions 18,"Stand A2, A4, B5, C1, T1, T2 in Showbag Pavilion",AFL Team Torch,$3.95,
12,AFL Showbag Brisbane Lions 18,"Stand A2, A4, B5, C1, T1, T2 in Showbag Pavilion",AFL Team Stickers,$4.95,
13,AFL Showbag Brisbane Lions 18,"Stand A2, A4, B5, C1, T1, T2 in Showbag Pavilion",AFL Team Pencil Case,$4.95,
14,AFL Showbag Brisbane Lions 18,"Stand A2, A4, B5, C1, T1, T2 in Showbag Pavilion",AFL Team Tumbler,$4.95,
15,AFL Showbag Brisbane Lions 18,"Stand A2, A4, B5, C1, T1, T2 in Showbag Pavilion",AFL Team Flag,$4.95,
16,AFL Showbag Carlton 18,"Stand A2, A4, B5, C1, T1, T2 in Showbag Pavilion",AFL Team Sportsbag,$24.95,
17,AFL Showbag Carlton 18,"Stand A2, A4, B5, C1, T1, T2 in Showbag Pavilion",AFL Team Cap,$14.95,
18,AFL Showbag Carlton 18,"Stand A2, A4, B5, C1, T1, T2 in Showbag Pavilion",AFL Team Football,$9.95,
19,AFL Showbag Carlton 18,"Stand A2, A4, B5, C1, T1, T2 in Showbag Pavilion",AFL Team Torch,$3.95,
20,AFL Showbag Carlton 18,"Stand A2, A4, B5, C1, T1, T2 in Showbag Pavilion",AFL Team Stickers,$4.95,
21,AFL Showbag Carlton 18,"Stand A2, A4, B5, C1, T1, T2 in Showbag Pavilion",AFL Team Pencil Case,$4.95,
22,AFL Showbag Carlton 18,"Stand A2, A4, B5, C1, T1, T2 in Showbag Pavilion",AFL Team Tumbler,$4.95,
23,AFL Showbag Carlton 18,"Stand A2, A4, B5, C1, T1, T2 in Showbag Pavilion",AFL Team Flag,$4.95,
24,AFL Showbag Collingwood 18,"Stand A2, A4, B5, C1, T1, T2 in Showbag Pavilion",AFL Team Sportsbag,$24.95,
